,Show,Name,file,PickedBy,Eliminated,Contestant,Week 1,Week 2,Week 3 1,Week 3 2,Week 4,Week 5,Score
0,Kids Baking Championship,Anthony,kbc_anthony.jpg,Martyna,1,Anthony,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1,Kids Baking Championship,Avner,kbc_avner.jpg,Matt,1,Avner,1.0,1.0,1.0,0.0,0.0,0.0,3.0
2,Kids Baking Championship,Elise,kbc_elise.jpg,Shelley,1,Elise,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kids Baking Championship,Graysen,kbc_graysen.jpg,Jerry,0,Graysen,1.0,1.0,1.0,0.0,1.0,1.0,5.0
4,Kids Baking Championship,Liam,kbc_liam.jpg,Shelley,0,Liam,1.0,1.0,1.0,0.0,1.0,1.0,5.0
5,Kids Baking Championship,Morgan,kbc_morgan.jpg,Marie,0,Morgan,1.0,1.0,1.0,0.0,1.0,1.0,5.0
6,Kids Baking Championship,Naima,kbc_naima.jpg,Matt,1,Naima,1.0,1.0,1.0,0.0,1.0,0.0,4.0
7,Kids Baking Championship,Reggie,kbc_reggie.jpg,Alex G,0,Reggie,1.0,1.0,1.0,0.0,1.0,1.0,5.0
8,Kids Baking Championship,Saleem,kbc_saleem.jpg,Maddie,1,Saleem,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,Kids Baking Championship,Sam,kbc_sam.jpg,Andrew,0,Sam,1.0,1.0,1.0,0.0,1.0,1.0,5.0
10,Project Runway,Brittany,pr_brittany.png,Marie,0,Brittany,1.0,1.0,1.0,0.0,1.0,1.0,5.0
11,Project Runway,Chelsey,pr_chelsea.png,Andrew,1,Chelsey,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,Project Runway,Dayoung,pr_dayoung.png,Jerry,1,Dayoung,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,Project Runway,Delvin,pr_delvin.png,Alex C,1,Delvin,1.0,1.0,1.0,0.0,0.0,0.0,3.0
14,Project Runway,Geoffrey,pr_geoffrey.png,Martyna,0,Geoffrey,1.0,1.0,1.0,0.0,1.0,1.0,5.0
15,Project Runway,Marquise,pr_marquise.png,Brock,0,Marquise,0.0,1.0,1.0,0.0,1.0,1.0,4.0
16,Project Runway,Nancy,pr_nancy.png,Shelley,0,Nancy,1.0,1.0,1.0,0.0,1.0,1.0,5.0
17,Project Runway,Sergio,pr_sergio.png,Marie,0,Sergio,1.0,1.0,1.0,0.0,1.0,1.0,5.0
18,Project Runway,Victoria C,pr_victoriac.png,Maddie,0,Victoria C,1.0,1.0,1.0,0.0,1.0,1.0,5.0
19,Survivor,Adam,sur_adam.jpg,Jessica,0,Adam,0.0,0.0,0.0,0.0,1.0,1.0,2.0
20,Survivor,Amber,sur_amber.jpg,0,1,Amber,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Survivor,Ben,sur_ben.jpg,Nate,0,Ben,0.0,0.0,0.0,0.0,1.0,1.0,2.0
22,Survivor,Danni,sur_danni.jpg,Marie,1,Danni,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,Survivor,Denise,sur_denise.jpg,0,0,Denise,0.0,0.0,0.0,0.0,1.0,1.0,2.0
24,Survivor,Ethan,sur_ethan.jpg,Jessica,0,Ethan,0.0,0.0,0.0,0.0,1.0,1.0,2.0
25,Survivor,Jeremy,sur_jeremy.jpg,Nate,0,Jeremy,0.0,0.0,0.0,0.0,1.0,1.0,2.0
26,Survivor,Kim,sur_kim.jpg,0,0,Kim,0.0,0.0,0.0,0.0,1.0,1.0,2.0
27,Survivor,Michele,sur_michele.jpg,0,0,Michele,0.0,0.0,0.0,0.0,1.0,1.0,2.0
28,Survivor,Natalie,sur_natalie.jpg,Alex C,1,Natalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Survivor,Nick,sur_nick.jpg,Martyna,0,Nick,0.0,0.0,0.0,0.0,1.0,1.0,2.0
30,Survivor,Pavarti,sur_pavarti.jpg,Jerry,0,Pavarti,0.0,0.0,0.0,0.0,1.0,1.0,2.0
31,Survivor,Rob,sur_rob.jpg,Alex C,0,Rob,0.0,0.0,0.0,0.0,1.0,1.0,2.0
32,Survivor,Sandra,sur_sandra.jpg,Jessica,0,Sandra,0.0,0.0,0.0,0.0,1.0,1.0,2.0
33,Survivor,Sarah L,sur_sarahL.jpg,0,0,Sarah L,0.0,0.0,0.0,0.0,1.0,1.0,2.0
34,Survivor,Sophie,sur_sophie.jpg,0,0,Sophie,0.0,0.0,0.0,0.0,1.0,1.0,2.0
35,Survivor,Tony,sur_tony.jpg,Andrew,0,Tony,0.0,0.0,0.0,0.0,1.0,1.0,2.0
36,Survivor,Tyson,sur_tyson.jpg,Nate,0,Tyson,0.0,0.0,0.0,0.0,1.0,1.0,2.0
37,Survivor,Wendell,sur_wendell.jpg,Nate,0,Wendell,0.0,0.0,0.0,0.0,1.0,1.0,2.0
38,Survivor,Yul,sur_yul.jpg,Alex G,0,Yul,0.0,0.0,0.0,0.0,1.0,1.0,2.0
39,The Bachelor,Alayah,bach_alayah.png,Brock,1,Alayah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,The Bachelor,Alexa,bach_alexa.png,Matt,1,Alexa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,The Bachelor,Deandra,bach_deandra.png,Maddie,1,Deandra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,The Bachelor,Hannah Ann,bach_hannahann.png,Martyna,0,Hannah Ann,1.0,1.0,1.0,1.0,1.0,1.0,6.0
43,The Bachelor,Jasmine,bach_jasmine.png,Jessica,1,Jasmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,The Bachelor,Kelley,bach_kelley.png,Maddie,1,Kelley,1.0,1.0,1.0,1.0,0.0,0.0,4.0
45,The Bachelor,Kelsey,bach_kelsey.png,Shelley,1,Kelsey,1.0,1.0,1.0,1.0,1.0,0.0,5.0
46,The Bachelor,Kiarra,bach_kiarra.png,Matt,1,Kiarra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47,The Bachelor,Lexi,bach_lexi.png,Alex G,1,Lexi,1.0,1.0,0.0,0.0,0.0,0.0,2.0
48,The Bachelor,Madison,bach_madison.png,Nate,0,Madison,1.0,1.0,1.0,1.0,1.0,1.0,6.0
49,The Bachelor,Mykenna,bach_mykenna.png,Matt,1,Mykenna,1.0,1.0,1.0,0.0,0.0,0.0,3.0
50,The Bachelor,Natasha,bach_natasha.png,Marie,1,Natasha,1.0,1.0,1.0,1.0,0.0,0.0,4.0
51,The Bachelor,Sarah C,bach_sarahc.png,Jerry,1,Sarah C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,The Bachelor,Savannah,bach_savannah.png,0,1,Savannah,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53,The Bachelor,Shiann,bach_shiann.png,Alex C,1,Shiann,1.0,1.0,0.0,0.0,0.0,0.0,2.0
54,The Bachelor,Sydney,bach_sydney.png,Alex G,1,Sydney,1.0,1.0,1.0,0.0,0.0,0.0,3.0
55,The Bachelor,Tammy,bach_tammy.png,Alex G,1,Tammy,1.0,1.0,1.0,0.0,0.0,0.0,3.0
56,The Bachelor,Victoria F,bach_victoriaF.png,Andrew,0,Victoria F,1.0,1.0,1.0,1.0,1.0,1.0,6.0
57,The Bachelor,Victoria P,bach_victoriaP.png,Brock,1,Victoria P,1.0,1.0,1.0,0.0,0.0,0.0,3.0
58,Top Chef,Angelo,tc_angelo.jpg,Kenny,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Top Chef,Brian M,tc_brian.jpg,Martyna,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Top Chef,Bryan V,tc_bryan.jpg,Kenny,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Top Chef,Eric,tc_eric.jpg,Jerry,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Top Chef,Gregory,tc_gregory.jpg,Alex C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Top Chef,Jamie,tc_jamie.jpg,Brock,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Top Chef,Jennifer,tc_jennifer.jpg,Maddie,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Top Chef,Joe,tc_joe.jpg,Brock,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Top Chef,Karen,tc_karen.jpg,Andrew,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Top Chef,Kevin,tc_kevin.jpg,Kenny,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Top Chef,Lee Anne,tc_leeanne.jpg,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Top Chef,Lisa,tc_lisa.jpg,Kenny,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Top Chef,Melissa,tc_melissa.jpg,Jessica,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Top Chef,Nini,tc_nini.jpg,Kenny,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Top Chef,Stephanie,tc_stephanie.jpg,Shelley,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
