,show,star,status,file
22,bach,Sydney,In the hunt,bach_sydney.png
19,bach,Jasmine,In the hunt,bach_jasmine.png
18,bach,Natasha,In the hunt,bach_natasha.png
17,bach,Kelsey,In the hunt,bach_kelsey.png
16,bach,Victoria F,In the hunt,bach_victoriaF.png
60,bach,Sarah C,In the hunt,bach_sarahc.png
61,bach,Shiann,In the hunt,bach_shiann.png
23,bach,Kiarra,In the hunt,bach_kiarra.png
25,bach,Lexi,In the hunt,bach_lexi.png
46,bach,Madison,In the hunt,bach_madison.png
10,bach,Savannah,In the hunt,bach_savannah.png
27,bach,Tammy,In the hunt,bach_tammy.png
28,bach,Deandra,In the hunt,bach_deandra.png
54,bach,Alayah,In the hunt,bach_alayah.png
34,bach,Kelley,In the hunt,bach_kelley.png
67,bach,Alexa,In the hunt,bach_alexa.png
35,bach,Hannah Ann,In the hunt,bach_hannahann.png
37,bach,Mykenna,In the hunt,bach_mykenna.png
21,bach,Victoria P,In the hunt,bach_victoriaP.png
24,kbc,Morgan,In the hunt,kbc_morgan.jpg
43,kbc,Anthony,In the hunt,kbc_anthony.jpg
26,kbc,Elise,In the hunt,kbc_elise.jpg
72,kbc,Reggie,In the hunt,kbc_reggie.jpg
13,kbc,Saleem,In the hunt,kbc_saleem.jpg
70,kbc,Naima,In the hunt,kbc_naima.jpg
6,kbc,Sam,In the hunt,kbc_sam.jpg
8,kbc,Avner,In the hunt,kbc_avner.jpg
45,kbc,Liam,In the hunt,kbc_liam.jpg
63,kbc,Graysen,In the hunt,kbc_graysen.jpg
71,pr,Sergio,In the hunt,pr_sergio.png
29,pr,Geoffrey,In the hunt,pr_geoffrey.png
55,pr,Dayoung,In the hunt,pr_dayoung.png
31,pr,Victoria C,In the hunt,pr_victoriac.png
53,pr,Chelsey,In the hunt,pr_chelsea.png
59,pr,Brittany,In the hunt,pr_brittany.png
69,pr,Delvin,In the hunt,pr_delvin.png
50,pr,Marquise,In the hunt,pr_marquise.png
40,pr,Nancy,In the hunt,pr_nancy.png
62,sur,Wendell,In the hunt,sur_wendell.jpg
48,sur,Kim,In the hunt,sur_kim.jpg
49,sur,Amber,In the hunt,sur_amber.jpg
65,sur,Natalie,In the hunt,sur_natalie.jpg
64,sur,Tyson,In the hunt,sur_tyson.jpg
68,sur,Tony,In the hunt,sur_tony.jpg
52,sur,Pavarti,In the hunt,sur_pavarti.jpg
66,sur,Nick,In the hunt,sur_nick.jpg
0,sur,Rob,In the hunt,sur_rob.jpg
1,sur,Adam,In the hunt,sur_adam.jpg
41,sur,Sandra,In the hunt,sur_sandra.jpg
39,sur,Jeremy,In the hunt,sur_jeremy.jpg
38,sur,Yul,In the hunt,sur_yul.jpg
33,sur,Denise,In the hunt,sur_denise.jpg
32,sur,Ethan,In the hunt,sur_ethan.jpg
4,sur,Danni,In the hunt,sur_danni.jpg
7,sur,Michele,In the hunt,sur_michele.jpg
44,sur,Sarah L,In the hunt,sur_sarahL.jpg
15,sur,Sophie,In the hunt,sur_sophie.jpg
9,sur,Ben,In the hunt,sur_ben.jpg
47,tc,Jamie,In the hunt,tc_jamie.jpg
2,tc,Kevin,In the hunt,tc_kevin.jpg
3,tc,Melissa,In the hunt,tc_melissa.jpg
5,tc,Brian M,In the hunt,tc_brian.jpg
11,tc,Angelo,In the hunt,tc_angelo.jpg
20,tc,Gregory,In the hunt,tc_gregory.jpg
14,tc,Joe,In the hunt,tc_joe.jpg
58,tc,Lisa,In the hunt,tc_lisa.jpg
57,tc,Eric,In the hunt,tc_eric.jpg
56,tc,Nini,In the hunt,tc_nini.jpg
30,tc,Karn,In the hunt,tc_karen.jpg
51,tc,Bryan V,In the hunt,tc_bryan.jpg
42,tc,Stephanie,In the hunt,tc_stephanie.jpg
12,tc,Jennifer,In the hunt,tc_jennifer.jpg
36,tc,Lee Anne,In the hunt,tc_leeanne.jpg
